original_name,category,cell_type,layer,prefix
dSTUT214_L5_BP_60923f9e40_0_0,CT,BP,L5,dSTUT214
dSTUT214_L6_BP_871d8b9502_0_0,CT,BP,L6,dSTUT214
dSTUT214_L4_BP_0b51bbc21b_0_0,CT,BP,L4,dSTUT214
dSTUT214_L5_BP_f600080385_0_0,CT,BP,L5,dSTUT214
dSTUT214_L4_BP_a8b6abe396_0_0,CT,BP,L4,dSTUT214
dSTUT214_L6_BP_82b6294190_0_0,CT,BP,L6,dSTUT214
dSTUT214_L5_BP_15aa299646_0_0,CT,BP,L5,dSTUT214
dSTUT214_L5_BP_55f9b731a1_0_0,CT,BP,L5,dSTUT214
dSTUT214_L4_BP_b88746aff4_0_0,CT,BP,L4,dSTUT214
dSTUT214_L6_BP_be00ceca27_0_0,CT,BP,L6,dSTUT214
dSTUT214_L23_BP_f03ecc7752_0_0,CT,BP,L23,dSTUT214
dSTUT214_L6_BP_b9592b27fd_0_0,CT,BP,L6,dSTUT214
dSTUT214_L6_BP_c8c05ef109_0_0,CT,BP,L6,dSTUT214
dSTUT214_L23_BP_ed3c32ad7e_0_0,CT,BP,L23,dSTUT214
dSTUT214_L23_BP_90ce41b9ce_0_0,CT,BP,L23,dSTUT214
dSTUT214_L4_BP_a62582b74c_0_0,CT,BP,L4,dSTUT214
dSTUT214_L23_BP_5f35d83447_0_0,CT,BP,L23,dSTUT214
dSTUT214_L4_BP_af68a93e57_0_0,CT,BP,L4,dSTUT214
dSTUT214_L5_BP_0cbab2a2ce_0_0,CT,BP,L5,dSTUT214
dSTUT214_L23_BP_5a18c05889_0_0,CT,BP,L23,dSTUT214
cSTUT189_L6_NBC_df448fd9b1_0_0,CT,NBC,L6,cSTUT189
dSTUT214_L5_NBC_d4cc42ae25_0_0,CT,NBC,L5,dSTUT214
cSTUT189_L6_NBC_63dc8fdbb5_0_0,CT,NBC,L6,cSTUT189
bSTUT213_L5_NBC_e7c18ce52f_0_0,CT,NBC,L5,bSTUT213
bSTUT213_L5_NBC_6c09f2f610_0_0,CT,NBC,L5,bSTUT213
dSTUT214_L5_NBC_4a41f068df_0_0,CT,NBC,L5,dSTUT214
bSTUT213_L6_NBC_4b88b7a151_0_0,CT,NBC,L6,bSTUT213
cSTUT189_L5_NBC_031c89778f_0_0,CT,NBC,L5,cSTUT189
bSTUT213_L6_NBC_9c726011d7_0_0,CT,NBC,L6,bSTUT213
dSTUT214_L6_NBC_5d97f161ff_0_0,CT,NBC,L6,dSTUT214
bSTUT213_L6_NBC_91e841ee63_0_0,CT,NBC,L6,bSTUT213
bSTUT213_L5_NBC_e0eb22f024_0_0,CT,NBC,L5,bSTUT213
dSTUT214_L6_NBC_242af4db7d_0_0,CT,NBC,L6,dSTUT214
dSTUT214_L6_NBC_1c98947546_0_0,CT,NBC,L6,dSTUT214
dSTUT214_L6_NBC_750f7ba17d_0_0,CT,NBC,L6,dSTUT214
cSTUT189_L5_NBC_42f781cf08_0_0,CT,NBC,L5,cSTUT189
cSTUT189_L6_NBC_b88c4c3f75_0_0,CT,NBC,L6,cSTUT189
cSTUT189_L5_NBC_adc0ce53be_0_0,CT,NBC,L5,cSTUT189
cSTUT189_L5_NBC_cb87ec754a_0_0,CT,NBC,L5,cSTUT189
bSTUT213_L6_NBC_1873e25157_0_0,CT,NBC,L6,bSTUT213
dSTUT214_L5_NBC_3a23cf60a6_0_0,CT,NBC,L5,dSTUT214
bSTUT213_L5_NBC_bb8fc44e15_0_0,CT,NBC,L5,bSTUT213
dSTUT214_L6_NBC_73114eff1a_0_0,CT,NBC,L6,dSTUT214
cSTUT189_L6_NBC_23c8220f56_0_0,CT,NBC,L6,cSTUT189
cSTUT189_L5_NBC_4126235f8b_0_0,CT,NBC,L5,cSTUT189
bSTUT213_L6_NBC_a3ddbb0af0_0_0,CT,NBC,L6,bSTUT213
dSTUT214_L5_NBC_2518b7a9e0_0_0,CT,NBC,L5,dSTUT214
dSTUT214_L5_NBC_283ce5d859_0_0,CT,NBC,L5,dSTUT214
bSTUT213_L5_NBC_650c18e6aa_0_0,CT,NBC,L5,bSTUT213
cSTUT189_L6_NBC_55825b9e30_0_0,CT,NBC,L6,cSTUT189
cSTUT189_L6_NGC_d2971f01cf_0_0,CT,NGC,L6,cSTUT189
cSTUT189_L5_NGC_d83e8a122b_0_0,CT,NGC,L5,cSTUT189
cSTUT189_L5_NGC_95430123f5_0_0,CT,NGC,L5,cSTUT189
cSTUT189_L23_NGC_b606225da8_0_0,CT,NGC,L23,cSTUT189
cSTUT189_L4_NGC_40d6a8f682_0_0,CT,NGC,L4,cSTUT189
cSTUT189_L23_NGC_efe076107a_0_0,CT,NGC,L23,cSTUT189
cSTUT189_L6_NGC_4cb459d73b_0_0,CT,NGC,L6,cSTUT189
cSTUT189_L4_NGC_1b7f7c63b1_0_0,CT,NGC,L4,cSTUT189
cSTUT189_L23_NGC_157802f324_0_0,CT,NGC,L23,cSTUT189
cSTUT189_L23_NGC_4cc11d30bc_0_0,CT,NGC,L23,cSTUT189
cSTUT189_L6_NGC_8e98a9c78c_0_0,CT,NGC,L6,cSTUT189
cSTUT189_L6_NGC_ed011e4f05_0_0,CT,NGC,L6,cSTUT189
cSTUT189_L5_NGC_d5718b222e_0_0,CT,NGC,L5,cSTUT189
cSTUT189_L6_NGC_a138b95b10_0_0,CT,NGC,L6,cSTUT189
cSTUT189_L4_NGC_5ab1c21d20_0_0,CT,NGC,L4,cSTUT189
cSTUT189_L4_NGC_ec67e9ba9b_0_0,CT,NGC,L4,cSTUT189
cSTUT189_L4_NGC_1c20d72451_0_0,CT,NGC,L4,cSTUT189
cSTUT189_L23_NGC_565b9e8b55_0_0,CT,NGC,L23,cSTUT189
cSTUT189_L5_NGC_de4f4a2b62_0_0,CT,NGC,L5,cSTUT189
cSTUT189_L5_NGC_ed87bd926f_0_0,CT,NGC,L5,cSTUT189
dSTUT214_L5_LBC_6a6d472ca8_0_0,CT,LBC,L5,dSTUT214
bSTUT213_L6_LBC_0823165631_0_0,CT,LBC,L6,bSTUT213
dSTUT214_L5_LBC_5dc27443f3_0_0,CT,LBC,L5,dSTUT214
dSTUT214_L4_LBC_84318d400f_0_0,CT,LBC,L4,dSTUT214
cSTUT189_L6_LBC_040eb0bc59_0_0,CT,LBC,L6,cSTUT189
cSTUT189_L6_LBC_1f1d59d3f5_0_0,CT,LBC,L6,cSTUT189
cSTUT189_L5_LBC_0ffcc91920_0_0,CT,LBC,L5,cSTUT189
cSTUT189_L4_LBC_1d4118b33e_0_0,CT,LBC,L4,cSTUT189
cSTUT189_L4_LBC_28153c03c4_0_0,CT,LBC,L4,cSTUT189
cSTUT189_L23_LBC_91044b50b3_0_0,CT,LBC,L23,cSTUT189
dSTUT214_L5_LBC_bf8ea1e366_0_0,CT,LBC,L5,dSTUT214
bSTUT213_L6_LBC_e36a750de6_0_0,CT,LBC,L6,bSTUT213
dSTUT214_L4_LBC_23aa2e3048_0_0,CT,LBC,L4,dSTUT214
dSTUT214_L5_LBC_82d782e650_0_0,CT,LBC,L5,dSTUT214
dSTUT214_L4_LBC_aecec7aee9_0_0,CT,LBC,L4,dSTUT214
bSTUT213_L6_LBC_9961376dfe_0_0,CT,LBC,L6,bSTUT213
cSTUT189_L23_LBC_1fb6d0ce77_0_0,CT,LBC,L23,cSTUT189
cSTUT189_L23_LBC_222e20da8f_0_0,CT,LBC,L23,cSTUT189
cSTUT189_L6_LBC_6e6465f06a_0_0,CT,LBC,L6,cSTUT189
cSTUT189_L23_LBC_e6e8f83407_0_0,CT,LBC,L23,cSTUT189
dSTUT214_L4_LBC_057a5b90cc_0_0,CT,LBC,L4,dSTUT214
cSTUT189_L4_LBC_fe3c0498a4_0_0,CT,LBC,L4,cSTUT189
cSTUT189_L4_LBC_2a3578f975_0_0,CT,LBC,L4,cSTUT189
cSTUT189_L5_LBC_29803173bd_0_0,CT,LBC,L5,cSTUT189
cSTUT189_L5_LBC_640a1cef1d_0_0,CT,LBC,L5,cSTUT189
dSTUT214_L5_LBC_a7bdd51160_0_0,CT,LBC,L5,dSTUT214
cSTUT189_L6_LBC_530a402f3f_0_0,CT,LBC,L6,cSTUT189
cSTUT189_L23_LBC_d2eb341534_0_0,CT,LBC,L23,cSTUT189
bSTUT213_L6_LBC_40c756925d_0_0,CT,LBC,L6,bSTUT213
cSTUT189_L6_LBC_0f06cad592_0_0,CT,LBC,L6,cSTUT189
dSTUT214_L4_LBC_396684f644_0_0,CT,LBC,L4,dSTUT214
cSTUT189_L5_LBC_6f185d799a_0_0,CT,LBC,L5,cSTUT189
cSTUT189_L4_LBC_11016afdad_0_0,CT,LBC,L4,cSTUT189
bSTUT213_L6_LBC_b4f69c277d_0_0,CT,LBC,L6,bSTUT213
cSTUT189_L5_LBC_7e5297a36c_0_0,CT,LBC,L5,cSTUT189
cSTUT189_L1_NGCDA_810ad6a571_0_0,CT,NGCDA,L1,cSTUT189
cSTUT189_L1_NGCDA_daa2d6b6a9_0_0,CT,NGCDA,L1,cSTUT189
cSTUT189_L1_NGCDA_0112c85cf0_0_0,CT,NGCDA,L1,cSTUT189
cSTUT189_L1_NGCDA_e1a52c74bf_0_0,CT,NGCDA,L1,cSTUT189
cSTUT189_L1_NGCDA_3d9c976fde_0_0,CT,NGCDA,L1,cSTUT189
bSTUT213_L5_MC_abb77ac4ef_0_0,CT,MC,L5,bSTUT213
cSTUT189_L5_MC_42542e071a_0_0,CT,MC,L5,cSTUT189
bSTUT213_L5_MC_fdc7bd1d07_0_0,CT,MC,L5,bSTUT213
bSTUT213_L6_MC_d379cda689_0_0,CT,MC,L6,bSTUT213
cSTUT189_L5_MC_bf2b2fbcbf_0_0,CT,MC,L5,cSTUT189
bSTUT213_L5_MC_8a4a02932c_0_0,CT,MC,L5,bSTUT213
bSTUT213_L6_MC_df869132b9_0_0,CT,MC,L6,bSTUT213
cSTUT189_L5_MC_cc2a170ef6_0_0,CT,MC,L5,cSTUT189
cSTUT189_L5_MC_575d31ccfd_0_0,CT,MC,L5,cSTUT189
bSTUT213_L5_MC_162814b80d_0_0,CT,MC,L5,bSTUT213
bSTUT213_L6_MC_5597e4d536_0_0,CT,MC,L6,bSTUT213
cSTUT189_L5_MC_8a4a02932c_0_0,CT,MC,L5,cSTUT189
bSTUT213_L6_MC_e8d04feaa6_0_0,CT,MC,L6,bSTUT213
bSTUT213_L6_MC_8f46a0ad62_0_0,CT,MC,L6,bSTUT213
bSTUT213_L5_MC_13c5267e91_0_0,CT,MC,L5,bSTUT213
bSTUT213_L6_DBC_65305c1be2_0_0,CT,DBC,L6,bSTUT213
bSTUT213_L4_DBC_0c64ca4449_0_0,CT,DBC,L4,bSTUT213
bSTUT213_L6_DBC_ed383a5814_0_0,CT,DBC,L6,bSTUT213
bSTUT213_L6_DBC_f56173144c_0_0,CT,DBC,L6,bSTUT213
bSTUT213_L6_DBC_eb2bf85006_0_0,CT,DBC,L6,bSTUT213
bSTUT213_L4_DBC_cd818dfadf_0_0,CT,DBC,L4,bSTUT213
bSTUT213_L4_DBC_23ffe29c8b_0_0,CT,DBC,L4,bSTUT213
bSTUT213_L5_DBC_44eae19442_0_0,CT,DBC,L5,bSTUT213
bSTUT213_L5_DBC_ad487d347d_0_0,CT,DBC,L5,bSTUT213
bSTUT213_L5_DBC_b475d0949a_0_0,CT,DBC,L5,bSTUT213
bSTUT213_L5_DBC_ec8ca02d79_0_0,CT,DBC,L5,bSTUT213
bSTUT213_L5_DBC_b770304226_0_0,CT,DBC,L5,bSTUT213
bSTUT213_L6_DBC_4765d943f4_0_0,CT,DBC,L6,bSTUT213
bSTUT213_L4_DBC_c6dae7aa61_0_0,CT,DBC,L4,bSTUT213
bSTUT213_L4_DBC_c5d29c2b17_0_0,CT,DBC,L4,bSTUT213
bSTUT213_L4_BTC_8637afc75f_0_0,CT,BTC,L4,bSTUT213
bSTUT213_L4_BTC_32b27576a9_0_0,CT,BTC,L4,bSTUT213
