cell_id,source_file,axonal_count,dendrites_count,member_segment_count
dSTUT214_L5_BP_60923f9e40_0_0,dSTUT214_L5_BP_60923f9e40_0_0.cell.nml,2,62,1002
cSTUT189_L6_NBC_df448fd9b1_0_0,cSTUT189_L6_NBC_df448fd9b1_0_0.cell.nml,2,69,2685
dNAC222_L4_MC_29457dde26_0_0,dNAC222_L4_MC_29457dde26_0_0.cell.nml,2,65,4307
cNAC187_L6_ChC_9b41babcdb_0_0,cNAC187_L6_ChC_9b41babcdb_0_0.cell.nml,2,52,2948
cACint209_L4_BP_a436dc77d5_0_0,cACint209_L4_BP_a436dc77d5_0_0.cell.nml,2,13,254
cACint209_L4_NGC_00ae03b116_0_0,cACint209_L4_NGC_00ae03b116_0_0.cell.nml,2,117,1336
cSTUT189_L6_NGC_d2971f01cf_0_0,cSTUT189_L6_NGC_d2971f01cf_0_0.cell.nml,2,118,1556
dNAC222_L5_SBC_365080b27f_0_0,dNAC222_L5_SBC_365080b27f_0_0.cell.nml,2,49,2117
bIR215_L6_DBC_e3438da2c9_0_0,bIR215_L6_DBC_e3438da2c9_0_0.cell.nml,2,78,1797
cNAC187_L6_ChC_d1b33e54c2_0_0,cNAC187_L6_ChC_d1b33e54c2_0_0.cell.nml,2,89,2464
cIR216_L6_NBC_0546dde601_0_0,cIR216_L6_NBC_0546dde601_0_0.cell.nml,2,60,1155
cNAC187_L6_BTC_c021ea90e3_0_0,cNAC187_L6_BTC_c021ea90e3_0_0.cell.nml,2,69,2424
cNAC187_L6_LBC_ae0d738c6e_0_0,cNAC187_L6_LBC_ae0d738c6e_0_0.cell.nml,2,39,5708
cIR216_L4_NBC_c28326d13b_0_0,cIR216_L4_NBC_c28326d13b_0_0.cell.nml,2,43,891
bNAC219_L23_LBC_b35128281c_0_0,bNAC219_L23_LBC_b35128281c_0_0.cell.nml,2,29,927
bNAC219_L23_DBC_f7a3d54a01_0_0,bNAC219_L23_DBC_f7a3d54a01_0_0.cell.nml,2,61,1071
cACint209_L6_NBC_ad3dd575d2_0_0,cACint209_L6_NBC_ad3dd575d2_0_0.cell.nml,2,34,2058
cACint209_L23_LBC_d5fa8128ae_0_0,cACint209_L23_LBC_d5fa8128ae_0_0.cell.nml,2,43,1259
bNAC219_L5_BP_bc09d28ed4_0_0,bNAC219_L5_BP_bc09d28ed4_0_0.cell.nml,2,62,1002
dSTUT214_L5_LBC_6a6d472ca8_0_0,dSTUT214_L5_LBC_6a6d472ca8_0_0.cell.nml,2,18,1017
bAC217_L4_DBC_99fd24de2c_0_0,bAC217_L4_DBC_99fd24de2c_0_0.cell.nml,2,63,3001
bNAC219_L4_NGC_3c9a6fcd96_0_0,bNAC219_L4_NGC_3c9a6fcd96_0_0.cell.nml,2,117,1336
cSTUT189_L1_NGCDA_810ad6a571_0_0,cSTUT189_L1_NGCDA_810ad6a571_0_0.cell.nml,2,30,311
bNAC219_L6_LBC_c5d7d5e5ee_0_0,bNAC219_L6_LBC_c5d7d5e5ee_0_0.cell.nml,2,41,2428
bAC217_L4_BTC_070d4f32f0_0_0,bAC217_L4_BTC_070d4f32f0_0_0.cell.nml,2,78,6135
bAC217_L23_DBC_55c1d16c8c_0_0,bAC217_L23_DBC_55c1d16c8c_0_0.cell.nml,2,38,1316
bNAC219_L5_BP_77ea5abf2a_0_0,bNAC219_L5_BP_77ea5abf2a_0_0.cell.nml,2,62,1002
dSTUT214_L5_NBC_d4cc42ae25_0_0,dSTUT214_L5_NBC_d4cc42ae25_0_0.cell.nml,2,60,1628
bAC217_L6_MC_38015c3bc0_0_0,bAC217_L6_MC_38015c3bc0_0_0.cell.nml,2,83,4197
cACint209_L6_MC_df869132b9_0_0,cACint209_L6_MC_df869132b9_0_0.cell.nml,2,164,2658
bNAC219_L23_SBC_da4a711a61_0_0,bNAC219_L23_SBC_da4a711a61_0_0.cell.nml,2,37,456
dSTUT214_L6_BP_871d8b9502_0_0,dSTUT214_L6_BP_871d8b9502_0_0.cell.nml,2,62,1002
bAC217_L5_LBC_01750e1e18_0_0,bAC217_L5_LBC_01750e1e18_0_0.cell.nml,2,52,2388
cSTUT189_L5_NGC_d83e8a122b_0_0,cSTUT189_L5_NGC_d83e8a122b_0_0.cell.nml,2,118,1556
cACint209_L4_LBC_66ec8fed8f_0_0,cACint209_L4_LBC_66ec8fed8f_0_0.cell.nml,2,105,2206
bIR215_L4_DBC_e57b56d14c_0_0,bIR215_L4_DBC_e57b56d14c_0_0.cell.nml,2,62,1252
TCR,TCR.cell.nml,6,130,274
cNAC187_L1_HAC_cc210b8244_0_0,cNAC187_L1_HAC_cc210b8244_0_0.cell.nml,2,44,1098
dNAC222_L5_SBC_655c77b594_0_0,dNAC222_L5_SBC_655c77b594_0_0.cell.nml,2,49,2117
bNAC219_L6_NGC_1cbc449022_0_0,bNAC219_L6_NGC_1cbc449022_0_0.cell.nml,2,118,1556
cACint209_L6_MC_5597e4d536_0_0,cACint209_L6_MC_5597e4d536_0_0.cell.nml,2,35,1610
bSTUT213_L5_MC_abb77ac4ef_0_0,bSTUT213_L5_MC_abb77ac4ef_0_0.cell.nml,2,65,2640
cACint209_L6_ChC_8eec342856_0_0,cACint209_L6_ChC_8eec342856_0_0.cell.nml,2,89,2464
cADpyr232_L5_STPC_d16b0be14e_0_0,cADpyr232_L5_STPC_d16b0be14e_0_0.cell.nml,2,203,2075
cSTUT189_L5_NGC_95430123f5_0_0,cSTUT189_L5_NGC_95430123f5_0_0.cell.nml,2,118,1556
cIR216_L6_NBC_4eea8c6853_0_0,cIR216_L6_NBC_4eea8c6853_0_0.cell.nml,2,77,1828
cADpyr230_L4_SP_0dc3a9acaf_0_0,cADpyr230_L4_SP_0dc3a9acaf_0_0.cell.nml,2,67,1190
cNAC187_L1_NGCSA_6fcd70b510_0_0,cNAC187_L1_NGCSA_6fcd70b510_0_0.cell.nml,2,43,387
bNAC219_L4_BP_c99c259f39_0_0,bNAC219_L4_BP_c99c259f39_0_0.cell.nml,2,13,254
bAC217_L5_BTC_9b82f426e5_0_0,bAC217_L5_BTC_9b82f426e5_0_0.cell.nml,2,109,2574
cACint209_L6_BP_31899e6d75_0_0,cACint209_L6_BP_31899e6d75_0_0.cell.nml,2,62,1002
bIR215_L6_MC_6ed36072e7_0_0,bIR215_L6_MC_6ed36072e7_0_0.cell.nml,2,109,4109
cNAC187_L6_LBC_9ab2498c23_0_0,cNAC187_L6_LBC_9ab2498c23_0_0.cell.nml,2,31,1299
cNAC187_L6_MC_d379cda689_0_0,cNAC187_L6_MC_d379cda689_0_0.cell.nml,2,95,1805
bSTUT213_L6_DBC_65305c1be2_0_0,bSTUT213_L6_DBC_65305c1be2_0_0.cell.nml,2,94,2685
