original_name,layer,subtype,source_file,combined_subtype,cell_type
cADpyr232_L5_STPC_d16b0be14e_0_0,L5,STPC,,STPC,STPC
cADpyr232_L5_TTPC1_ded64abc4d_0_0,L5,TTPC1,,TTPC1,TTPC1
cADpyr232_L5_TTPC2_8052133265_0_0,L5,TTPC2,,TTPC2,TTPC2
cADpyr232_L5_STPC_a78c3cbca8_0_0,L5,STPC,,STPC,STPC
cADpyr232_L5_UTPC_79412a7e72_0_0,L5,UTPC,,UTPC,UTPC
cADpyr232_L5_TTPC2_c46a93702c_0_0,L5,TTPC2,,TTPC2,TTPC2
cADpyr232_L5_TTPC1_0fb1ca4724_0_0,L5,TTPC1,,TTPC1,TTPC1
cADpyr232_L5_UTPC_d736225429_0_0,L5,UTPC,,UTPC,UTPC
cADpyr232_L5_TTPC2_a467781f53_0_0,L5,TTPC2,,TTPC2,TTPC2
cADpyr232_L5_TTPC1_fc944c2cf3_0_0,L5,TTPC1,,TTPC1,TTPC1
cADpyr232_L5_UTPC_da1143b075_0_0,L5,UTPC,,UTPC,UTPC
cADpyr232_L5_UTPC_34f655e7f8_0_0,L5,UTPC,,UTPC,UTPC
cADpyr232_L5_STPC_6d41d50fcb_0_0,L5,STPC,,STPC,STPC
cADpyr232_L5_TTPC1_da1088139b_0_0,L5,TTPC1,,TTPC1,TTPC1
cADpyr232_L5_UTPC_5e3840b51e_0_0,L5,UTPC,,UTPC,UTPC
cADpyr232_L5_STPC_4ec7a36770_0_0,L5,STPC,,STPC,STPC
cADpyr232_L5_STPC_d63221b7a8_0_0,L5,STPC,,STPC,STPC
cADpyr232_L5_TTPC1_b6836fcf6f_0_0,L5,TTPC1,,TTPC1,TTPC1
cADpyr232_L5_TTPC2_8bab918b58_0_0,L5,TTPC2,,TTPC2,TTPC2
cADpyr232_L5_TTPC2_a28017c6c7_0_0,L5,TTPC2,,TTPC2,TTPC2
cADpyr230_L4_SP_0dc3a9acaf_0_0,L4,SP,,SP,SP
cADpyr230_L4_SP_6fe41ae9cd_0_0,L4,SP,,SP,SP
cADpyr230_L4_PC_d3b8beb606_0_0,L4,PC,,PC,PC
cADpyr230_L4_SS_a5ca6392b3_0_0,L4,SS,,SS,SS
cADpyr230_L4_PC_2d5807a37b_0_0,L4,PC,,PC,PC
cADpyr230_L4_PC_f15e35e578_0_0,L4,PC,,PC,PC
cADpyr230_L4_PC_75e11d6cee_0_0,L4,PC,,PC,PC
cADpyr230_L4_SS_1afeb14f17_0_0,L4,SS,,SS,SS
cADpyr230_L4_SP_c3f779f565_0_0,L4,SP,,SP,SP
cADpyr230_L4_SP_274e5a90fb_0_0,L4,SP,,SP,SP
cADpyr230_L4_SS_9e49de205b_0_0,L4,SS,,SS,SS
cADpyr230_L4_SP_1c98df1fde_0_0,L4,SP,,SP,SP
cADpyr230_L4_SS_a8ef0f9d97_0_0,L4,SS,,SS,SS
cADpyr230_L4_PC_0dbf678e7f_0_0,L4,PC,,PC,PC
cADpyr230_L4_SS_08eefff078_0_0,L4,SS,,SS,SS
cADpyr229_L23_PC_8ef1aa6602_0_0,L23,PC,,PC,PC
cADpyr229_L23_PC_863902f300_0_0,L23,PC,,PC,PC
cADpyr229_L23_PC_c292d67a2e_0_0,L23,PC,,PC,PC
cADpyr229_L23_PC_5ecbf9b163_0_0,L23,PC,,PC,PC
cADpyr229_L23_PC_c2e79db05a_0_0,L23,PC,,PC,PC
cADpyr231_L6_TPC_L4_0cb1e9aa6b_0_0,L6,TPC,,TPC,TPC
cADpyr231_L6_BPC_1ed55c8860_0_0,L6,BPC,,BPC,BPC
cADpyr231_L6_UTPC_9d28264fcd_0_0,L6,UTPC,,UTPC,UTPC
cADpyr231_L6_IPC_c56c0e0779_0_0,L6,IPC,,IPC,IPC
cADpyr231_L6_BPC_3406e7f0b2_0_0,L6,BPC,,BPC,BPC
cADpyr231_L6_TPC_L1_68efb03f39_0_0,L6,TPC,,TPC,TPC
cADpyr231_L6_BPC_05f7073f5f_0_0,L6,BPC,,BPC,BPC
cADpyr231_L6_TPC_L1_7fc2c927c9_0_0,L6,TPC,,TPC,TPC
cADpyr231_L6_UTPC_186e8dd6aa_0_0,L6,UTPC,,UTPC,UTPC
cADpyr231_L6_BPC_4e9a9465d3_0_0,L6,BPC,,BPC,BPC
cADpyr231_L6_IPC_5ada6448ea_0_0,L6,IPC,,IPC,IPC
cADpyr231_L6_TPC_L1_44f2206f70_0_0,L6,TPC,,TPC,TPC
cADpyr231_L6_IPC_c95b8bde99_0_0,L6,IPC,,IPC,IPC
cADpyr231_L6_IPC_8d0f3a7d2e_0_0,L6,IPC,,IPC,IPC
cADpyr231_L6_IPC_80ec904753_0_0,L6,IPC,,IPC,IPC
cADpyr231_L6_UTPC_295f0e6025_0_0,L6,UTPC,,UTPC,UTPC
cADpyr231_L6_BPC_2f96fbbd13_0_0,L6,BPC,,BPC,BPC
cADpyr231_L6_UTPC_15731e5081_0_0,L6,UTPC,,UTPC,UTPC
cADpyr231_L6_TPC_L4_117b9dfb71_0_0,L6,TPC,,TPC,TPC
cADpyr231_L6_TPC_L1_1856ba2db5_0_0,L6,TPC,,TPC,TPC
cADpyr231_L6_TPC_L4_184fd5677b_0_0,L6,TPC,,TPC,TPC
cADpyr231_L6_TPC_L4_91b667d362_0_0,L6,TPC,,TPC,TPC
cADpyr231_L6_TPC_L4_3f1b0bd478_0_0,L6,TPC,,TPC,TPC
cADpyr231_L6_UTPC_9f3da79327_0_0,L6,UTPC,,UTPC,UTPC
cADpyr231_L6_TPC_L1_f2d985e7ff_0_0,L6,TPC,,TPC,TPC
