source,source_type,target,target_type,projection_type,weight
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cIR216_L6_MC_dc1f55aab0_0_0,Exc,continuous,0.243378944042186
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cACint209_L6_BTC_bc69dce0ae_0_0,Exc,continuous,0.184509120981301
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cACint209_L4_BTC_6909c18187_0_0,Exc,continuous,0.112976417917189
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cIR216_L6_NBC_38e0d4fd81_0_0,Exc,continuous,0.187648267640588
cADpyr230_L4_SS_9e49de205b_0_0,Exc,dNAC222_L23_ChC_9b0e709c9c_0_0,Inh,continuous,0.135207238352731
cADpyr230_L4_SS_9e49de205b_0_0,Exc,bIR215_L5_MC_fdc7bd1d07_0_0,Inh,continuous,0.219425813698278
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cIR216_L1_HAC_a67a175a7c_0_0,Exc,continuous,0.163188470968102
cADpyr230_L4_SS_9e49de205b_0_0,Exc,bAC217_L5_NBC_913c40083e_0_0,Inh,continuous,0.255646908815498
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cACint209_L4_BP_5e74f0aae9_0_0,Exc,continuous,0.151621839031259
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cIR216_L4_NBC_7eb58fa61e_0_0,Exc,continuous,0.123220305000286
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cADpyr232_L5_STPC_d63221b7a8_0_0,Exc,continuous,0.13175003046855
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cNAC187_L1_DAC_a4cb1c245c_0_0,Exc,continuous,0.16042258376429
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cNAC187_L4_BTC_32b27576a9_0_0,Exc,continuous,0.212747212229237
cADpyr230_L4_SS_9e49de205b_0_0,Exc,bNAC219_L1_HAC_dfd993e67b_0_0,Inh,continuous,0.275794838802109
cADpyr230_L4_SS_9e49de205b_0_0,Exc,cNAC187_L6_NBC_4225ab5b52_0_0,Exc,continuous,0.113866920138018
cADpyr231_L6_TPC_L1_1856ba2db5_0_0,Exc,cIR216_L6_MC_dc1f55aab0_0_0,Exc,continuous,0.275277219478359
cADpyr231_L6_TPC_L1_1856ba2db5_0_0,Exc,cACint209_L6_BTC_bc69dce0ae_0_0,Exc,continuous,0.123322029416803
cADpyr231_L6_TPC_L1_1856ba2db5_0_0,Exc,cACint209_L4_BTC_6909c18187_0_0,Exc,continuous,0.163110668940475
cADpyr231_L6_TPC_L1_1856ba2db5_0_0,Exc,cIR216_L6_NBC_38e0d4fd81_0_0,Exc,continuous,0.138137949453203
cADpyr231_L6_TPC_L1_1856ba2db5_0_0,Exc,dNAC222_L23_ChC_9b0e709c9c_0_0,Inh,continuous,0.11983185390897
cADpyr231_L6_TPC_L1_1856ba2db5_0_0,Exc,bIR215_L5_MC_fdc7bd1d07_0_0,Inh,continuous,0.178128352614298
cADpyr231_L6_TPC_L1_1856ba2db5_0_0,Exc,cIR216_L1_HAC_a67a175a7c_0_0,Exc,continuous,0.279030970046148
cADpyr231_L6_TPC_L1_1856ba2db5_0_0,Exc,bAC217_L5_NBC_913c40083e_0_0,Inh,continuous,0.247109031896698
