pop_id,component,region,type,size,cont_out,cont_in,cont_exc_out,cont_inh_out,cont_exc_in,cont_inh_in,elec_out,elec_in,elec_exc_out,elec_inh_out,elec_exc_in,elec_inh_in,total_out,total_in,inputs,exc_inputs,inh_inputs,cont_out_density,cont_in_density,elec_out_density,elec_in_density,input_density,exc_input_density,inh_input_density
M2a_bIR215_L23_BTC_fcf6c1f59c_0_0,bIR215_L23_BTC_fcf6c1f59c_0_0,M2a,inh,36,0,165,0,0,0,165,160,160,0,160,0,160,160,325,4,0,4,0.0,4.583333333333333,4.444444444444445,4.444444444444445,0.1111111111111111,0.0,0.1111111111111111
S1b_bAC217_L6_DBC_2005a958c4_0_0,bAC217_L6_DBC_2005a958c4_0_0,S1b,inh,52,0,0,0,0,0,0,348,348,0,348,0,348,348,348,6,0,6,0.0,0.0,6.6923076923076925,6.6923076923076925,0.11538461538461539,0.0,0.11538461538461539
M1b_bAC217_L23_LBC_c5ee2b20c2_0_0,bAC217_L23_LBC_c5ee2b20c2_0_0,M1b,inh,36,0,0,0,0,0,0,240,240,0,240,0,240,240,240,4,0,4,0.0,0.0,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
M1a_bIR215_L5_DBC_7f0bb8efe9_0_0,bIR215_L5_DBC_7f0bb8efe9_0_0,M1a,inh,25,0,0,0,0,0,0,165,165,0,165,0,165,165,165,3,0,3,0.0,0.0,6.6,6.6,0.12,0.0,0.12
M2b_bIR215_L23_BTC_e051419629_0_0,bIR215_L23_BTC_e051419629_0_0,M2b,inh,36,0,0,0,0,0,0,160,160,0,160,0,160,160,160,4,0,4,0.0,0.0,4.444444444444445,4.444444444444445,0.1111111111111111,0.0,0.1111111111111111
S1a_bAC217_L6_DBC_2005a958c4_0_0,bAC217_L6_DBC_2005a958c4_0_0,S1a,inh,52,0,0,0,0,0,0,348,348,0,348,0,348,348,348,6,0,6,0.0,0.0,6.6923076923076925,6.6923076923076925,0.11538461538461539,0.0,0.11538461538461539
S1b_bAC217_L23_LBC_c5ee2b20c2_0_0,bAC217_L23_LBC_c5ee2b20c2_0_0,S1b,inh,36,0,0,0,0,0,0,240,240,0,240,0,240,240,240,4,0,4,0.0,0.0,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
M2a_bIR215_L5_DBC_7f0bb8efe9_0_0,bIR215_L5_DBC_7f0bb8efe9_0_0,M2a,inh,25,0,171,0,0,0,171,110,110,0,110,0,110,110,281,3,0,3,0.0,6.84,4.4,4.4,0.12,0.0,0.12
M1b_bIR215_L23_BTC_e051419629_0_0,bIR215_L23_BTC_e051419629_0_0,M1b,inh,36,0,0,0,0,0,0,240,240,0,240,0,240,240,240,4,0,4,0.0,0.0,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
M1a_bAC217_L6_DBC_2005a958c4_0_0,bAC217_L6_DBC_2005a958c4_0_0,M1a,inh,52,0,0,0,0,0,0,348,348,0,348,0,348,348,348,6,0,6,0.0,0.0,6.6923076923076925,6.6923076923076925,0.11538461538461539,0.0,0.11538461538461539
S1a_bAC217_L23_LBC_c5ee2b20c2_0_0,bAC217_L23_LBC_c5ee2b20c2_0_0,S1a,inh,36,0,244,0,0,244,0,240,240,0,240,0,240,240,484,4,0,4,0.0,6.777777777777778,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
M2b_bIR215_L5_DBC_50ea904e54_0_0,bIR215_L5_DBC_50ea904e54_0_0,M2b,inh,25,0,0,0,0,0,0,110,110,0,110,0,110,110,110,3,0,3,0.0,0.0,4.4,4.4,0.12,0.0,0.12
S1b_bIR215_L23_BTC_e051419629_0_0,bIR215_L23_BTC_e051419629_0_0,S1b,inh,36,0,0,0,0,0,0,240,240,0,240,0,240,240,240,4,0,4,0.0,0.0,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
M2a_bAC217_L6_DBC_2005a958c4_0_0,bAC217_L6_DBC_2005a958c4_0_0,M2a,inh,52,212,0,0,212,0,0,232,232,0,232,0,232,444,232,6,0,6,4.076923076923077,0.0,4.461538461538462,4.461538461538462,0.11538461538461539,0.0,0.11538461538461539
M1a_bAC217_L23_LBC_c5ee2b20c2_0_0,bAC217_L23_LBC_c5ee2b20c2_0_0,M1a,inh,36,210,0,0,210,0,0,240,240,0,240,0,240,450,240,4,0,4,5.833333333333333,0.0,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
