pop_id,component,region,type,size,cont_out,cont_in,cont_exc_out,cont_inh_out,cont_exc_in,cont_inh_in,elec_out,elec_in,elec_exc_out,elec_inh_out,elec_exc_in,elec_inh_in,total_out,total_in,inputs,exc_inputs,inh_inputs,cont_out_density,cont_in_density,elec_out_density,elec_in_density,input_density,exc_input_density,inh_input_density
cNAC187_L6_BP_46b0f41def_0_0,cNAC187_L6_BP_46b0f41def_0_0,max_CTC_plus,exc,52,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
dNAC222_L4_SBC_f48f4f7670_0_0,dNAC222_L4_SBC_f48f4f7670_0_0,max_CTC_plus,inh,21,0,0,0,0,0,0,44,44,0,44,0,44,44,44,2,0,2,0.0,0.0,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
cSTUT189_L23_LBC_91044b50b3_0_0,cSTUT189_L23_LBC_91044b50b3_0_0,max_CTC_plus,exc,36,0,0,0,0,0,0,100,100,100,0,100,0,100,100,6,6,0,0.0,0.0,2.7777777777777777,2.7777777777777777,0.16666666666666666,0.16666666666666666,0.0
cNAC187_L6_LBC_41f715f2d0_0_0,cNAC187_L6_LBC_41f715f2d0_0_0,max_CTC_plus,exc,52,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
cNAC187_L1_SLAC_16735ed026_0_0,cNAC187_L1_SLAC_16735ed026_0_0,max_CTC_plus,exc,5,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,20.0,20.0,1.8,1.8,0.0
cACint209_L5_LBC_126a82ac08_0_0,cACint209_L5_LBC_126a82ac08_0_0,max_CTC_plus,exc,25,0,0,0,0,0,0,62,62,62,0,62,0,62,62,4,4,0,0.0,0.0,2.48,2.48,0.16,0.16,0.0
bSTUT213_L6_NBC_91e841ee63_0_0,bSTUT213_L6_NBC_91e841ee63_0_0,max_CTC_plus,inh,52,0,0,0,0,0,0,100,100,0,100,0,100,100,100,6,0,6,0.0,0.0,1.9230769230769231,1.9230769230769231,0.11538461538461539,0.0,0.11538461538461539
cACint209_L5_MC_bf2b2fbcbf_0_0,cACint209_L5_MC_bf2b2fbcbf_0_0,max_CTC_plus,exc,25,0,0,0,0,0,0,62,62,62,0,62,0,62,62,4,4,0,0.0,0.0,2.48,2.48,0.16,0.16,0.0
cACint209_L1_NGCDA_79c9f5c53c_0_0,cACint209_L1_NGCDA_79c9f5c53c_0_0,max_CTC_plus,exc,5,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,20.0,20.0,1.8,1.8,0.0
bNAC219_L5_SBC_30bda13a76_0_0,bNAC219_L5_SBC_30bda13a76_0_0,max_CTC_plus,inh,25,0,0,0,0,0,0,55,55,0,55,0,55,55,55,3,0,3,0.0,0.0,2.2,2.2,0.12,0.0,0.12
bAC217_L5_NBC_e943473349_0_0,bAC217_L5_NBC_e943473349_0_0,max_CTC_plus,inh,25,0,0,0,0,0,0,55,55,0,55,0,55,55,55,3,0,3,0.0,0.0,2.2,2.2,0.12,0.0,0.12
cACint209_L5_NGC_2ab508e906_0_0,cACint209_L5_NGC_2ab508e906_0_0,max_CTC_plus,exc,25,0,0,0,0,0,0,62,62,62,0,62,0,62,62,4,4,0,0.0,0.0,2.48,2.48,0.16,0.16,0.0
bNAC219_L6_MC_6c575906a7_0_0,bNAC219_L6_MC_6c575906a7_0_0,max_CTC_plus,inh,52,0,15,0,0,0,15,100,100,0,100,0,100,100,115,6,0,6,0.0,0.28846153846153844,1.9230769230769231,1.9230769230769231,0.11538461538461539,0.0,0.11538461538461539
cSTUT189_L4_NGC_1c20d72451_0_0,cSTUT189_L4_NGC_1c20d72451_0_0,max_CTC_plus,exc,21,5,0,5,0,0,0,44,44,44,0,44,0,49,44,3,3,0,0.23809523809523808,0.0,2.0952380952380953,2.0952380952380953,0.14285714285714285,0.14285714285714285,0.0
cIR216_L6_DBC_9e6b867e51_0_0,cIR216_L6_DBC_9e6b867e51_0_0,max_CTC_plus,exc,52,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
bNAC219_L5_DBC_0024418c1a_0_0,bNAC219_L5_DBC_0024418c1a_0_0,max_CTC_plus,inh,25,0,0,0,0,0,0,55,55,0,55,0,55,55,55,3,0,3,0.0,0.0,2.2,2.2,0.12,0.0,0.12
cIR216_L6_MC_dc1f55aab0_0_0,cIR216_L6_MC_dc1f55aab0_0_0,max_CTC_plus,exc,52,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
cACint209_L23_DBC_4041312e0d_0_0,cACint209_L23_DBC_4041312e0d_0_0,max_CTC_plus,exc,36,0,0,0,0,0,0,100,100,100,0,100,0,100,100,6,6,0,0.0,0.0,2.7777777777777777,2.7777777777777777,0.16666666666666666,0.16666666666666666,0.0
bAC217_L6_MC_792eb41cce_0_0,bAC217_L6_MC_792eb41cce_0_0,max_CTC_plus,inh,52,0,0,0,0,0,0,100,100,0,100,0,100,100,100,6,0,6,0.0,0.0,1.9230769230769231,1.9230769230769231,0.11538461538461539,0.0,0.11538461538461539
cACint209_L5_DBC_189fcfd9e0_0_0,cACint209_L5_DBC_189fcfd9e0_0_0,max_CTC_plus,exc,25,0,0,0,0,0,0,62,62,62,0,62,0,62,62,4,4,0,0.0,0.0,2.48,2.48,0.16,0.16,0.0
cNAC187_L23_BTC_9902cd4960_0_0,cNAC187_L23_BTC_9902cd4960_0_0,max_CTC_plus,exc,36,0,3,0,0,3,0,100,100,100,0,100,0,100,103,6,6,0,0.0,0.08333333333333333,2.7777777777777777,2.7777777777777777,0.16666666666666666,0.16666666666666666,0.0
bNAC219_L6_NGC_982f5b1a82_0_0,bNAC219_L6_NGC_982f5b1a82_0_0,max_CTC_plus,inh,52,0,0,0,0,0,0,100,100,0,100,0,100,100,100,6,0,6,0.0,0.0,1.9230769230769231,1.9230769230769231,0.11538461538461539,0.0,0.11538461538461539
bNAC219_L5_DBC_8be7b81168_0_0,bNAC219_L5_DBC_8be7b81168_0_0,max_CTC_plus,inh,25,0,0,0,0,0,0,55,55,0,55,0,55,55,55,3,0,3,0.0,0.0,2.2,2.2,0.12,0.0,0.12
cADpyr231_L6_UTPC_15731e5081_0_0,cADpyr231_L6_UTPC_15731e5081_0_0,max_CTC_plus,exc,52,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
cACint209_L5_NBC_ac16f8ddcb_0_0,cACint209_L5_NBC_ac16f8ddcb_0_0,max_CTC_plus,exc,25,0,0,0,0,0,0,62,62,62,0,62,0,62,62,4,4,0,0.0,0.0,2.48,2.48,0.16,0.16,0.0
cIR216_L1_HAC_a67a175a7c_0_0,cIR216_L1_HAC_a67a175a7c_0_0,max_CTC_plus,exc,5,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,20.0,20.0,1.8,1.8,0.0
dNAC222_L4_LBC_a6205ed0df_0_0,dNAC222_L4_LBC_a6205ed0df_0_0,max_CTC_plus,inh,21,31,0,0,31,0,0,44,44,0,44,0,44,75,44,2,0,2,1.4761904761904763,0.0,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
cNAC187_L6_NBC_c0fd8f67e2_0_0,cNAC187_L6_NBC_c0fd8f67e2_0_0,max_CTC_plus,exc,52,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
cNAC187_L6_ChC_a3c657441e_0_0,cNAC187_L6_ChC_a3c657441e_0_0,max_CTC_plus,exc,52,0,166,0,0,166,0,100,100,100,0,100,0,100,266,9,9,0,0.0,3.1923076923076925,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
cNAC187_L1_NGCSA_569d800dfe_0_0,cNAC187_L1_NGCSA_569d800dfe_0_0,max_CTC_plus,exc,5,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,20.0,20.0,1.8,1.8,0.0
bSTUT213_L4_DBC_23ffe29c8b_0_0,bSTUT213_L4_DBC_23ffe29c8b_0_0,max_CTC_plus,inh,21,0,0,0,0,0,0,44,44,0,44,0,44,44,44,2,0,2,0.0,0.0,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
bNAC219_L4_DBC_519f8feedc_0_0,bNAC219_L4_DBC_519f8feedc_0_0,max_CTC_plus,inh,21,0,15,0,0,15,0,44,44,0,44,0,44,44,59,2,0,2,0.0,0.7142857142857143,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
bNAC219_L6_BP_94e814803e_0_0,bNAC219_L6_BP_94e814803e_0_0,max_CTC_plus,inh,52,0,0,0,0,0,0,100,100,0,100,0,100,100,100,6,0,6,0.0,0.0,1.9230769230769231,1.9230769230769231,0.11538461538461539,0.0,0.11538461538461539
bAC217_L6_BP_f61a000b31_0_0,bAC217_L6_BP_f61a000b31_0_0,max_CTC_plus,inh,52,0,0,0,0,0,0,100,100,0,100,0,100,100,100,6,0,6,0.0,0.0,1.9230769230769231,1.9230769230769231,0.11538461538461539,0.0,0.11538461538461539
bAC217_L23_BP_472b717f1f_0_0,bAC217_L23_BP_472b717f1f_0_0,max_CTC_plus,inh,36,0,0,0,0,0,0,80,80,0,80,0,80,80,80,4,0,4,0.0,0.0,2.2222222222222223,2.2222222222222223,0.1111111111111111,0.0,0.1111111111111111
dNAC222_L23_MC_31f333a601_0_0,dNAC222_L23_MC_31f333a601_0_0,max_CTC_plus,inh,36,0,0,0,0,0,0,80,80,0,80,0,80,80,80,4,0,4,0.0,0.0,2.2222222222222223,2.2222222222222223,0.1111111111111111,0.0,0.1111111111111111
dNAC222_L4_NBC_695ce74c39_0_0,dNAC222_L4_NBC_695ce74c39_0_0,max_CTC_plus,inh,21,0,0,0,0,0,0,44,44,0,44,0,44,44,44,2,0,2,0.0,0.0,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
cADpyr229_L23_PC_863902f300_0_0,cADpyr229_L23_PC_863902f300_0_0,max_CTC_plus,exc,36,0,0,0,0,0,0,100,100,100,0,100,0,100,100,6,6,0,0.0,0.0,2.7777777777777777,2.7777777777777777,0.16666666666666666,0.16666666666666666,0.0
bSTUT213_L6_DBC_65305c1be2_0_0,bSTUT213_L6_DBC_65305c1be2_0_0,max_CTC_plus,inh,52,0,0,0,0,0,0,100,100,0,100,0,100,100,100,6,0,6,0.0,0.0,1.9230769230769231,1.9230769230769231,0.11538461538461539,0.0,0.11538461538461539
cNAC187_L1_NGCSA_eb27dd33ff_0_0,cNAC187_L1_NGCSA_eb27dd33ff_0_0,max_CTC_plus,exc,5,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,20.0,20.0,1.8,1.8,0.0
cACint209_L23_ChC_9b21151736_0_0,cACint209_L23_ChC_9b21151736_0_0,max_CTC_plus,exc,36,0,61,0,0,0,61,100,100,100,0,100,0,100,161,6,6,0,0.0,1.6944444444444444,2.7777777777777777,2.7777777777777777,0.16666666666666666,0.16666666666666666,0.0
bNAC219_L6_NGC_1cbc449022_0_0,bNAC219_L6_NGC_1cbc449022_0_0,max_CTC_plus,inh,52,0,0,0,0,0,0,100,100,0,100,0,100,100,100,6,0,6,0.0,0.0,1.9230769230769231,1.9230769230769231,0.11538461538461539,0.0,0.11538461538461539
dNAC222_L4_SBC_1bad5bb92b_0_0,dNAC222_L4_SBC_1bad5bb92b_0_0,max_CTC_plus,inh,21,31,0,0,31,0,0,44,44,0,44,0,44,75,44,2,0,2,1.4761904761904763,0.0,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
dNAC222_L4_SBC_799e027057_0_0,dNAC222_L4_SBC_799e027057_0_0,max_CTC_plus,inh,21,0,0,0,0,0,0,44,44,0,44,0,44,44,44,2,0,2,0.0,0.0,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
dNAC222_L23_LBC_1b6313448d_0_0,dNAC222_L23_LBC_1b6313448d_0_0,max_CTC_plus,inh,36,0,0,0,0,0,0,80,80,0,80,0,80,80,80,4,0,4,0.0,0.0,2.2222222222222223,2.2222222222222223,0.1111111111111111,0.0,0.1111111111111111
cSTUT189_L1_NGCDA_0112c85cf0_0_0,cSTUT189_L1_NGCDA_0112c85cf0_0_0,max_CTC_plus,exc,5,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,20.0,20.0,1.8,1.8,0.0
bSTUT213_L4_BTC_62f17815ed_0_0,bSTUT213_L4_BTC_62f17815ed_0_0,max_CTC_plus,inh,21,0,0,0,0,0,0,44,44,0,44,0,44,44,44,2,0,2,0.0,0.0,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
cNAC187_L1_NGCSA_6fcd70b510_0_0,cNAC187_L1_NGCSA_6fcd70b510_0_0,max_CTC_plus,exc,5,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,20.0,20.0,1.8,1.8,0.0
cNAC187_L1_DAC_81e928d216_0_0,cNAC187_L1_DAC_81e928d216_0_0,max_CTC_plus,exc,5,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,20.0,20.0,1.8,1.8,0.0
cACint209_L5_SBC_3ba116236f_0_0,cACint209_L5_SBC_3ba116236f_0_0,max_CTC_plus,exc,25,0,0,0,0,0,0,62,62,62,0,62,0,62,62,4,4,0,0.0,0.0,2.48,2.48,0.16,0.16,0.0
dNAC222_L4_LBC_3530c2c05e_0_0,dNAC222_L4_LBC_3530c2c05e_0_0,max_CTC_plus,inh,21,0,0,0,0,0,0,44,44,0,44,0,44,44,44,2,0,2,0.0,0.0,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
cADpyr232_L5_UTPC_5e3840b51e_0_0,cADpyr232_L5_UTPC_5e3840b51e_0_0,max_CTC_plus,exc,25,0,0,0,0,0,0,62,62,62,0,62,0,62,62,4,4,0,0.0,0.0,2.48,2.48,0.16,0.16,0.0
cACint209_L23_DBC_d6b3e3e96c_0_0,cACint209_L23_DBC_d6b3e3e96c_0_0,max_CTC_plus,exc,36,0,165,0,0,165,0,100,100,100,0,100,0,100,265,6,6,0,0.0,4.583333333333333,2.7777777777777777,2.7777777777777777,0.16666666666666666,0.16666666666666666,0.0
cSTUT189_L6_LBC_1f1d59d3f5_0_0,cSTUT189_L6_LBC_1f1d59d3f5_0_0,max_CTC_plus,exc,52,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
cSTUT189_L23_LBC_222e20da8f_0_0,cSTUT189_L23_LBC_222e20da8f_0_0,max_CTC_plus,exc,36,0,0,0,0,0,0,100,100,100,0,100,0,100,100,6,6,0,0.0,0.0,2.7777777777777777,2.7777777777777777,0.16666666666666666,0.16666666666666666,0.0
bNAC219_L4_MC_29457dde26_0_0,bNAC219_L4_MC_29457dde26_0_0,max_CTC_plus,inh,21,0,0,0,0,0,0,44,44,0,44,0,44,44,44,2,0,2,0.0,0.0,2.0952380952380953,2.0952380952380953,0.09523809523809523,0.0,0.09523809523809523
cNAC187_L6_DBC_166d3f579a_0_0,cNAC187_L6_DBC_166d3f579a_0_0,max_CTC_plus,exc,52,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
cADpyr232_L5_TTPC2_a28017c6c7_0_0,cADpyr232_L5_TTPC2_a28017c6c7_0_0,max_CTC_plus,exc,25,115,0,115,0,0,0,62,62,62,0,62,0,177,62,4,4,0,4.6,0.0,2.48,2.48,0.16,0.16,0.0
cACint209_L6_NBC_a3972c5d97_0_0,cACint209_L6_NBC_a3972c5d97_0_0,max_CTC_plus,exc,52,0,0,0,0,0,0,100,100,100,0,100,0,100,100,9,9,0,0.0,0.0,1.9230769230769231,1.9230769230769231,0.17307692307692307,0.17307692307692307,0.0
